패널,패널 섹션,파라미터명,비고
RcDgn_I,Design Section 패널,Section for Design,
RcDgn_I,Batch Processing 패널,Perform Batch Design,
RcDgn_J,Design Input Data,Design Code Option,
RcDgn_J,Design Input Data,Common Design Parameters (공통),
RcDgn_J,Design Input Data,Strength Reduction Factor,
RcDgn_J,Design Input Data,Maximum Rebar Ratio,
RcDgn_J,Design Input Data,Limiting Minimum Section Size,
RcDgn_J,Design Input Data,Serviceability Parameters,
RcDgn_J,Design Input Data,Modify RC Material,
RcDgn_J,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_J,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_J,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_J,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_J,Rebar 패널,Rebar Input for Checking - General Section,
RcDgn_J,Table 패널,Common Parameter Tables,
RcDgn_J,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_J,Perform 패널,Concrete Code Design - Column Design,
RcDgn_J,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_J,Perform 패널,Concrete Code Check - Column Check,
RcDgn_J,Design Section 패널,Section for Design,
RcDgn_J,Batch Processing 패널,Perform Batch Design,
RcDgn_K,Design Input Data,Design Code Option,
RcDgn_K,Design Input Data,Common Design Parameters (공통),
RcDgn_K,Design Input Data,Strength Reduction Factor,
RcDgn_K,Design Input Data,Maximum Rebar Ratio,
RcDgn_K,Design Input Data,Limiting Minimum Section Size,
RcDgn_K,Design Input Data,Serviceability Parameters,
RcDgn_K,Design Input Data,Modify RC Material,AS 5100.5:17에서는 Moment Factor와 Moment Magnifier의 표시명이 다름
RcDgn_K,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_K,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_K,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_K,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_K,Rebar 패널,Rebar Input for Checking - General Section,
RcDgn_K,Table 패널,Common Parameter Tables,
RcDgn_K,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_K,Perform 패널,Concrete Code Design - Column Design,
RcDgn_K,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_K,Perform 패널,Concrete Code Check - Column Check,
RcDgn_K,Design Section 패널,Section for Design,
RcDgn_K,Batch Processing 패널,Perform Batch Design,
