Tag,Path,Mode,Methods,Description
DB_Design,/DB/MEMB,,"DELETE, GET, POST, PUT",Member Assignment
DB_Design,/DB/MEMB/{id},,"DELETE, GET, POST, PUT",Member Assignment
DB_Design,/DB/MRFT,,"DELETE, GET, POST, PUT",
DB_Design,/DB/MRFT/{id},,"DELETE, GET, POST, PUT",
DB_Design,/DB/RCHK,,"DELETE, GET, POST, PUT",Rebar Input for Checking - Beam/Column
DB_Design,/DB/RCHK/{id},,"DELETE, GET, POST, PUT",Rebar Input for Checking - Beam/Column
DB_Design,/DB/WMAK,,"DELETE, GET, POST, PUT",Modify Wall Mark Design
DB_Design,/DB/WMAK/{id},,"DELETE, GET, POST, PUT",Modify Wall Mark Design
DB_Grid Model Analysis Loads,/DB/GALD,,"DELETE, GET, POST, PUT",Grid Analysis Load
DB_Grid Model Analysis Loads,/DB/GALD/{id},,"DELETE, GET, POST, PUT",Grid Analysis Load
DB_Heat of Hydration Results,/DB/HHND,,"DELETE, GET, POST, PUT",Heat of Hydaration Result Graph
DB_Heat of Hydration Results,/DB/HHND/{id},,"DELETE, GET, POST, PUT",Heat of Hydaration Result Graph
DB_Misc. Result,/DB/ULFC,,"DELETE, GET, POST, PUT",Cable Control - Unknown Load Factor Constraints
DB_Misc. Result,/DB/ULFC/{id},,"DELETE, GET, POST, PUT",Cable Control - Unknown Load Factor Constraints
DB_Miscellaneous Loads,/DB/WVLD,,"DELETE, GET, POST, PUT",Wave Loads
DB_Miscellaneous Loads,/DB/WVLD/{id},,"DELETE, GET, POST, PUT",Wave Loads
DB_Moving Loads,/DB/CJFG,,"DELETE, GET, POST, PUT",Concurrent Joint Force Group
DB_Moving Loads,/DB/CJFG/{id},,"DELETE, GET, POST, PUT",Concurrent Joint Force Group
DB_Moving Loads,/DB/CRGR,,"DELETE, GET, POST, PUT",Concurrent Reaction Group
DB_Moving Loads,/DB/CRGR/{id},,"DELETE, GET, POST, PUT",Concurrent Reaction Group
DB_Moving Loads,/DB/DYFG,,"DELETE, GET, POST, PUT",Railway Dynamic Factor
DB_Moving Loads,/DB/DYFG/{id},,"DELETE, GET, POST, PUT",Railway Dynamic Factor
DB_Moving Loads,/DB/DYLA,,"DELETE, GET, POST, PUT",Dynamic Load Allowance
DB_Moving Loads,/DB/DYLA/{id},,"DELETE, GET, POST, PUT",Dynamic Load Allowance
DB_Moving Loads,/DB/DYNF,,"DELETE, GET, POST, PUT",Railway Dynamic Factor by Element
DB_Moving Loads,/DB/DYNF/{id},,"DELETE, GET, POST, PUT",Railway Dynamic Factor by Element
DB_Moving Loads,/DB/IMPF,,"DELETE, GET, POST, PUT",Additional Impact Factor
DB_Moving Loads,/DB/IMPF/{id},,"DELETE, GET, POST, PUT",Additional Impact Factor
DB_Moving Loads,/DB/LLANCH,,"DELETE, GET, POST, PUT",Traffic Line Lanes - China
DB_Moving Loads,/DB/LLANCH/{id},,"DELETE, GET, POST, PUT",Traffic Line Lanes - China
DB_Moving Loads,/DB/LLANID,,"DELETE, GET, POST, PUT",Traffic Line Lanes - India
DB_Moving Loads,/DB/LLANID/{id},,"DELETE, GET, POST, PUT",Traffic Line Lanes - India
DB_Moving Loads,/DB/LLANJP,,"DELETE, GET, POST, PUT",
DB_Moving Loads,/DB/LLANJP/{id},,"DELETE, GET, POST, PUT",
DB_Moving Loads,/DB/LLANOP,,"DELETE, GET, POST, PUT",Traffic Line Lanes - Moving Load Optimizaion
DB_Moving Loads,/DB/LLANOP/{id},,"DELETE, GET, POST, PUT",Traffic Line Lanes - Moving Load Optimizaion
DB_Moving Loads,/DB/LLANTR,,"DELETE, GET, POST, PUT",Traffic Line Lanes - Transverse
DB_Moving Loads,/DB/LLANTR/{id},,"DELETE, GET, POST, PUT",Traffic Line Lanes - Transverse
DB_Moving Loads,/DB/MVHL,,"DELETE, GET, POST, PUT",Vehicles - Taiwan
DB_Moving Loads,/DB/MVHL/{id},,"DELETE, GET, POST, PUT",Vehicles - Taiwan
DB_Moving Loads,/DB/MVHLTR,,"DELETE, GET, POST, PUT",Vehicles - Transverse
DB_Moving Loads,/DB/MVHLTR/{id},,"DELETE, GET, POST, PUT",Vehicles - Transverse
DB_Moving Loads,/DB/MVLDBS,,"DELETE, GET, POST, PUT",Moving Load Cases - BS
DB_Moving Loads,/DB/MVLDBS/{id},,"DELETE, GET, POST, PUT",Moving Load Cases - BS
DB_Moving Loads,/DB/MVLDCH,,"DELETE, GET, POST, PUT",Moving Load Cases - China
DB_Moving Loads,/DB/MVLDCH/{id},,"DELETE, GET, POST, PUT",Moving Load Cases - China
DB_Moving Loads,/DB/MVLDEU,,"DELETE, GET, POST, PUT",Moving Load Cases - Eurocode
DB_Moving Loads,/DB/MVLDEU/{id},,"DELETE, GET, POST, PUT",Moving Load Cases - Eurocode
DB_Moving Loads,/DB/MVLDID,,"DELETE, GET, POST, PUT",Moving Load Cases - India
DB_Moving Loads,/DB/MVLDID/{id},,"DELETE, GET, POST, PUT",Moving Load Cases - India
DB_Moving Loads,/DB/MVLDJP,,"DELETE, GET, POST, PUT",
DB_Moving Loads,/DB/MVLDJP/{id},,"DELETE, GET, POST, PUT",
DB_Moving Loads,/DB/MVLDPL,,"DELETE, GET, POST, PUT",Moving Load Cases - Poland
DB_Moving Loads,/DB/MVLDPL/{id},,"DELETE, GET, POST, PUT",Moving Load Cases - Poland
DB_Moving Loads,/DB/MVLDTR,,"DELETE, GET, POST, PUT",Moving Load Cases - Transverse
DB_Moving Loads,/DB/MVLDTR/{id},,"DELETE, GET, POST, PUT",Moving Load Cases - Transverse
DB_Moving Loads,/DB/SLANCH,,"DELETE, GET, POST, PUT",Traffic Surface Lanes - China
DB_Moving Loads,/DB/SLANCH/{id},,"DELETE, GET, POST, PUT",Traffic Surface Lanes - China
DB_Moving Loads,/DB/SLANOP,,"DELETE, GET, POST, PUT",Traffic Surface Lanes - Moving Load Optimization
DB_Moving Loads,/DB/SLANOP/{id},,"DELETE, GET, POST, PUT",Traffic Surface Lanes - Moving Load Optimization
DB_Node/Element,/DB/DOEL,,"DELETE, GET, POST, PUT",Domain-Element
DB_Node/Element,/DB/DOEL/{id},,"DELETE, GET, POST, PUT",Domain-Element
DB_Project,/DB/PJCF,,"DELETE, GET, POST, PUT",Project Information
DB_Project,/DB/PJCF/{id},,"DELETE, GET, POST, PUT",Project Information
DB_Project,/DB/UNIT,,"GET, PUT",Unit System
DB_Project,/DB/UNIT/{id},,"GET, PUT",Unit System
DB_Properties,/DB/ESSF,,"DELETE, GET, POST, PUT",Element Stiffness Scale Factor
DB_Properties,/DB/ESSF/{id},,"DELETE, GET, POST, PUT",Element Stiffness Scale Factor
DB_Properties,/DB/EWSF,,"DELETE, GET, POST, PUT",Effective Width Scale Factor
DB_Properties,/DB/EWSF/{id},,"DELETE, GET, POST, PUT",Effective Width Scale Factor
DB_Properties,/DB/FIBR,,"DELETE, GET, POST, PUT",Fiber Division of Section
DB_Properties,/DB/FIBR/{id},,"DELETE, GET, POST, PUT",Fiber Division of Section
DB_Properties,/DB/GRDP,,"DELETE, GET, POST, PUT",Group Damping
DB_Properties,/DB/GRDP/{id},,"DELETE, GET, POST, PUT",Group Damping
DB_Properties,/DB/IEHC,,"DELETE, GET, POST, PUT",Inelastic Hinge Control Data
DB_Properties,/DB/IEHC/{id},,"DELETE, GET, POST, PUT",Inelastic Hinge Control Data
DB_Properties,/DB/IEHP,,"DELETE, GET, POST, PUT",
DB_Properties,/DB/IEHP/{id},,"DELETE, GET, POST, PUT",
DB_Properties,/DB/IMFM,,"DELETE, GET, POST, PUT",Inelastic Material Properties for Fiber Model
DB_Properties,/DB/IMFM/{id},,"DELETE, GET, POST, PUT",Inelastic Material Properties for Fiber Model
DB_Properties,/DB/MTCS,,"DELETE, GET, POST, PUT",
DB_Properties,/DB/MTCS/{id},,"DELETE, GET, POST, PUT",
DB_Properties,/DB/PHGT,,"DELETE, GET, POST, PUT",
DB_Properties,/DB/PHGT/{id},,"DELETE, GET, POST, PUT",
DB_Properties,/DB/PSSF,,"DELETE, GET, POST, PUT",Section Manager - Plate Stiffness Scale Factor
DB_Properties,/DB/PSSF/{id},,"DELETE, GET, POST, PUT",Section Manager - Plate Stiffness Scale Factor
DB_Properties,/DB/RPSC,,"DELETE, GET, POST, PUT",Section Manager - Reinforcements
DB_Properties,/DB/RPSC/{id},,"DELETE, GET, POST, PUT",Section Manager - Reinforcements
DB_Properties,/DB/SECF,,"DELETE, GET, POST, PUT",Section Manager - Stiffness
DB_Properties,/DB/SECF/{id},,"DELETE, GET, POST, PUT",Section Manager - Stiffness
DB_Properties,/DB/SECP,,"DELETE, GET, POST, PUT",
DB_Properties,/DB/SECP/{id},,"DELETE, GET, POST, PUT",
DB_Properties,/DB/SECV,,"DELETE, GET, POST, PUT",
DB_Properties,/DB/SECV/{id},,"DELETE, GET, POST, PUT",
DB_Properties,/DB/STRPSSM,,"DELETE, GET, POST, PUT",Section Manager - Stress Points
DB_Properties,/DB/STRPSSM/{id},,"DELETE, GET, POST, PUT",Section Manager - Stress Points
DB_Properties,/DB/VBEM,,"DELETE, GET, POST, PUT",Section Manager - Section for Resultant Forces - Virtual Beam
DB_Properties,/DB/VBEM/{id},,"DELETE, GET, POST, PUT",Section Manager - Section for Resultant Forces - Virtual Beam
DB_Properties,/DB/VSEC,,"DELETE, GET, POST, PUT",Section Manager - Section for Resultant Forces - Virtual Section
DB_Properties,/DB/VSEC/{id},,"DELETE, GET, POST, PUT",Section Manager - Section for Resultant Forces - Virtual Section
DB_Properties,/DB/WSSF,,"DELETE, GET, POST, PUT",
DB_Properties,/DB/WSSF/{id},,"DELETE, GET, POST, PUT",
DB_Pushover,/DB/PHGE,,"DELETE, GET, POST, PUT",Assign Pushover Hinge Properties
DB_Pushover,/DB/PHGE/{id},,"DELETE, GET, POST, PUT",Assign Pushover Hinge Properties
DB_Pushover,/DB/POGD,,"DELETE, GET, POST, PUT",Pushover Analysis Control Data
DB_Pushover,/DB/POGD/{id},,"DELETE, GET, POST, PUT",Pushover Analysis Control Data
DB_Pushover,/DB/POLC,,"DELETE, GET, POST, PUT",Pushover Load Cases
DB_Pushover,/DB/POLC/{id},,"DELETE, GET, POST, PUT",Pushover Load Cases
DB_Static Loads,/DB/ARPR,,"DELETE, GET, POST, PUT",
DB_Static Loads,/DB/ARPR/{id},,"DELETE, GET, POST, PUT",
DB_Static Loads,/DB/EQMF,,"DELETE, GET, POST, PUT",
DB_Static Loads,/DB/EQMF/{id},,"DELETE, GET, POST, PUT",
DB_View,/DB/NUCS,,"DELETE, GET, POST, PUT",
DB_View,/DB/NUCS/{id},,"DELETE, GET, POST, PUT",
DB_View,/DB/UFIG,,GET,
DB_View,/DB/UFIG/{id},,GET,
Description,/INFO/DB/ACTL,,GET,Main Control Data
Description,/INFO/DB/ARPR,,GET,
Description,/INFO/DB/BCCT,,GET,Boundary Change Assignment
Description,/INFO/DB/BMLD,,GET,Beam Loads
Description,/INFO/DB/BNGR,,GET,Boundary Group
Description,/INFO/DB/BODF,,GET,Self-Weight
Description,/INFO/DB/BTMP,,GET,Beam Section Temperature
Description,/INFO/DB/BUCK,,GET,Buckling Analysis Control
Description,/INFO/DB/CAMB,,GET,FCM Camber Control
Description,/INFO/DB/CCFC,,GET,Convection Coefficient Functions
Description,/INFO/DB/CGLP,,GET,Change General Link Property
Description,/INFO/DB/CJFG,,GET,Concurrent Joint Force Group
Description,/INFO/DB/CLDR,,GET,Define Constraints Label Direction
Description,/INFO/DB/CLWP,,GET,Plate Cutting Line Diagram
Description,/INFO/DB/CMCS,,GET,Camber for Construction Stage
Description,/INFO/DB/CMFT,,GET,
Description,/INFO/DB/CNLD,,GET,Nodal Loads
Description,/INFO/DB/CO_F,,GET,Floor Load Color
Description,/INFO/DB/CO_M,,GET,Material Color
Description,/INFO/DB/CO_S,,GET,Section Color
Description,/INFO/DB/CO_T,,GET,Thickness Color
Description,/INFO/DB/CONS,,GET,Constraint Support
Description,/INFO/DB/CRGR,,GET,Concurrent Reaction Group
Description,/INFO/DB/CRPC,,GET,Creep Coefficient for Construction Stage
Description,/INFO/DB/CSCS,,GET,Composite Section for Construction Stage
Description,/INFO/DB/CUTL,,GET,Cutting Line
Description,/INFO/DB/DCON,,GET,RC Design Code
Description,/INFO/DB/DCTL,,GET,Definition of Frame
Description,/INFO/DB/DOEL,,GET,Domain-Element
Description,/INFO/DB/DSTL,,GET,Design Steel Code
Description,/INFO/DB/DYFG,,GET,Railway Dynamic Factor
Description,/INFO/DB/DYLA,,GET,Dynamic Load Allowance
Description,/INFO/DB/DYNF,,GET,Railway Dynamic Factor by Element
Description,/INFO/DB/EARE,,GET,
Description,/INFO/DB/EDMP,,GET,Change Property
Description,/INFO/DB/EFCT,,GET,Small Displacement - Initial Force Control Data
Description,/INFO/DB/EIGV,,GET,Eigenvalue Analysis Control
Description,/INFO/DB/ELEM,,GET,Element
Description,/INFO/DB/ELNK,,GET,Elastic Link
Description,/INFO/DB/EPMT,,GET,Plastic Material
Description,/INFO/DB/EPSE,,GET,
Description,/INFO/DB/EQMF,,GET,
Description,/INFO/DB/ESSF,,GET,Element Stiffness Scale Factor
Description,/INFO/DB/ETFC,,GET,Ambient Temperature Functions
Description,/INFO/DB/ETMP,,GET,Element Temperature
Description,/INFO/DB/EWSF,,GET,Effective Width Scale Factor
Description,/INFO/DB/EXLD,,GET,External Type Load Case for Pretension
Description,/INFO/DB/FBLA,,GET,Assign Floor Loads
Description,/INFO/DB/FBLD,,GET,Define Floor Load Type
Description,/INFO/DB/FIBR,,GET,Fiber Division of Section
Description,/INFO/DB/FIMP,,GET,Inelastic Material Properties
Description,/INFO/DB/FMLD,,GET,Finishing Material Loads
Description,/INFO/DB/FRLS,,GET,Beam End Release
Description,/INFO/DB/GALD,,GET,Grid Analysis Load
Description,/INFO/DB/GCMB,,GET,General Camber Control
Description,/INFO/DB/GRDP,,GET,Group Damping
Description,/INFO/DB/GRUP,,GET,Structure Group
Description,/INFO/DB/GSBG,,GET,Bridge Girder Diagrams
Description,/INFO/DB/GSPR,,GET,Assign General Spring Supports
Description,/INFO/DB/GSTP,,GET,Define General Spring Type
Description,/INFO/DB/GTMP,,GET,Temperature Gradient
Description,/INFO/DB/HAHS,,GET,Assign Heat Source
Description,/INFO/DB/HECB,,GET,Element Convection Boundary
Description,/INFO/DB/HHCT,,GET,Heat of Hydration Analysis Control
Description,/INFO/DB/HHND,,GET,Heat of Hydaration Result Graph
Description,/INFO/DB/HPCE,,GET,Pipe Cooling
Description,/INFO/DB/HSFC,,GET,Heat Source Functions
Description,/INFO/DB/HSPT,,GET,Prescribed Temperature
Description,/INFO/DB/HSTG,,GET,Define Construction Stage for Hydration
Description,/INFO/DB/IEHC,,GET,Inelastic Hinge Control Data
Description,/INFO/DB/IEHG,,GET,Assign Inelastic Hinge Properties
Description,/INFO/DB/IEHP,,GET,
Description,/INFO/DB/IELC,,GET,Ignore Elements for Load Cases
Description,/INFO/DB/IEPI,,GET,Ignore Elements for Pushover Intial Load
Description,/INFO/DB/IFGS,,GET,Large Displacement - Initial Forces for Geometric Stiffness
Description,/INFO/DB/IMFM,,GET,Inelastic Material Properties for Fiber Model
Description,/INFO/DB/IMPF,,GET,Additional Impact Factor
Description,/INFO/DB/INMF,,GET,Small Displacement - Initial Element Force
Description,/INFO/DB/KFAC,,GET,
Description,/INFO/DB/LCOM-ALUM,,GET,
Description,/INFO/DB/LCOM-CFSTEEL,,GET,
Description,/INFO/DB/LCOM-CONC,,GET,Load Combinations - Concrete Design
Description,/INFO/DB/LCOM-FDN,,GET,
Description,/INFO/DB/LCOM-GEN,,GET,Load Combinations - General
Description,/INFO/DB/LCOM-LINEAR,,GET,
Description,/INFO/DB/LCOM-SEISMIC,,GET,Load Combinations - Seismic Design
Description,/INFO/DB/LCOM-SRC,,GET,Load Combinations - SRC Design
Description,/INFO/DB/LCOM-STEEL,,GET,Load Combinations - Steel Design
Description,/INFO/DB/LCOM-STLCOMP,,GET,Load Combinations - Composite Steel Girder Design
Description,/INFO/DB/LDGR,,GET,Load Group
Description,/INFO/DB/LDSQ,,GET,Load Sequence for Nonlinear
Description,/INFO/DB/LENG,,GET,Unbraced Length
Description,/INFO/DB/LLAN,,GET,Traffic Line Lanes
Description,/INFO/DB/LLANCH,,GET,Traffic Line Lanes - China
Description,/INFO/DB/LLANID,,GET,Traffic Line Lanes - India
Description,/INFO/DB/LLANJP,,GET,
Description,/INFO/DB/LLANOP,,GET,Traffic Line Lanes - Moving Load Optimizaion
Description,/INFO/DB/LLANTR,,GET,Traffic Line Lanes - Transverse
Description,/INFO/DB/LTOM,,GET,Loads to Masses
Description,/INFO/DB/LTSR,,GET,Underground Load Combination Type
Description,/INFO/DB/MADO,,GET,Define Domain
Description,/INFO/DB/MATD,,GET,Modify Concrete Materials
Description,/INFO/DB/MATL,,GET,Material Properties
Description,/INFO/DB/MBTP,,GET,Modify Member Type
Description,/INFO/DB/MCON,,GET,Linear Constraints
Description,/INFO/DB/MDGN,,GET,
Description,/INFO/DB/MEMB,,GET,Member Assignment
Description,/INFO/DB/MLFC,,GET,Force-Deformation Function
Description,/INFO/DB/MLSP,,GET,Lane Support - Negative Moments at Interior Piers
Description,/INFO/DB/MLSR,,GET,Lane Support - Reactions at Interior Piers
Description,/INFO/DB/MRFT,,GET,
Description,/INFO/DB/MTCS,,GET,
Description,/INFO/DB/MVCD,,GET,Moving Load Code
Description,/INFO/DB/MVCT,,GET,Moving Load Analysis Control
Description,/INFO/DB/MVCTBS,,GET,Moving Load Analysis Control - BS
Description,/INFO/DB/MVCTCH,,GET,Moving Load Analysis Control - China
Description,/INFO/DB/MVCTID,,GET,Moving Load Analysis Control - India
Description,/INFO/DB/MVCTTR,,GET,Moving Load Analysis Control - Transverse
Description,/INFO/DB/MVHC,,GET,Vehicle Classes
Description,/INFO/DB/MVHL,,GET,Vehicles - Taiwan
Description,/INFO/DB/MVHLTR,,GET,Vehicles - Transverse
Description,/INFO/DB/MVLD,,GET,Moving Load Cases
Description,/INFO/DB/MVLDBS,,GET,Moving Load Cases - BS
Description,/INFO/DB/MVLDCH,,GET,Moving Load Cases - China
Description,/INFO/DB/MVLDEU,,GET,Moving Load Cases - Eurocode
Description,/INFO/DB/MVLDID,,GET,Moving Load Cases - India
Description,/INFO/DB/MVLDJP,,GET,
Description,/INFO/DB/MVLDPL,,GET,Moving Load Cases - Poland
Description,/INFO/DB/MVLDTR,,GET,Moving Load Cases - Transverse
Description,/INFO/DB/NBOF,,GET,Nodal Body Force
Description,/INFO/DB/NLCT,,GET,Nonlinear Analysis Control Data
Description,/INFO/DB/NLLP,,GET,General Link Properties
Description,/INFO/DB/NLNK,,GET,General Link
Description,/INFO/DB/NMAS,,GET,Nodal Masses
Description,/INFO/DB/NODE,,GET,Node
Description,/INFO/DB/NPLN,,GET,Named Plane
Description,/INFO/DB/NSPR,,GET,Point Spring
Description,/INFO/DB/NTMP,,GET,Nodal Temperature
Description,/INFO/DB/NUCS,,GET,
Description,/INFO/DB/OFFS,,GET,Beam End Offsets
Description,/INFO/DB/PDEL,,GET,P-Delta Analysis Control
Description,/INFO/DB/PHGE,,GET,Assign Pushover Hinge Properties
Description,/INFO/DB/PHGT,,GET,
Description,/INFO/DB/PJCF,,GET,Project Information
Description,/INFO/DB/PLCB,,GET,Pre-composite Section
Description,/INFO/DB/PNLA,,GET,Assign Plane Loads
Description,/INFO/DB/PNLD,,GET,Define Plane Load Type
Description,/INFO/DB/POGD,,GET,Pushover Analysis Control Data
Description,/INFO/DB/POLC,,GET,Pushover Load Cases
Description,/INFO/DB/POSL,,GET,Parameter of Seismic Loads
Description,/INFO/DB/PRES,,GET,Assign Pressure Loads
Description,/INFO/DB/PRLS,,GET,Plate End Release
Description,/INFO/DB/PRST,,GET,Prestress Beam Loads
Description,/INFO/DB/PSLT,,GET,Define Pressure Load Type
Description,/INFO/DB/PSSF,,GET,Section Manager - Plate Stiffness Scale Factor
Description,/INFO/DB/PTNS,,GET,Pretension Loads
Description,/INFO/DB/PZEF,,GET,Panel Zone Effects
Description,/INFO/DB/RCHK,,GET,Rebar Input for Checking - Beam/Column
Description,/INFO/DB/RIGD,,GET,Rigid Link
Description,/INFO/DB/RPSC,,GET,Section Manager - Reinforcements
Description,/INFO/DB/SBCT,,GET,
Description,/INFO/DB/SBDO,,GET,Define Sub-Domain
Description,/INFO/DB/SDSP,,GET,Specified Displacements of Support
Description,/INFO/DB/SDST,,GET,Seismic Device - Steel Damper
Description,/INFO/DB/SDVE,,GET,Seismic Device - Viscoelastic Damper
Description,/INFO/DB/SDVI,,GET,Seismic Device - Viscous Damper/Oil Damper
Description,/INFO/DB/SECF,,GET,Section Manager - Stiffness
Description,/INFO/DB/SECP,,GET,
Description,/INFO/DB/SECT,,GET,Section Properties - Tapered - Steel Girder
Description,/INFO/DB/SECV,,GET,
Description,/INFO/DB/SGLD,,GET,
Description,/INFO/DB/SINF,,GET,Plate Element for Influence Surface
Description,/INFO/DB/SKEW,,GET,Node Local Axis
Description,/INFO/DB/SLAN,,GET,Traffic Surface Lanes
Description,/INFO/DB/SLANCH,,GET,Traffic Surface Lanes - China
Description,/INFO/DB/SLANOP,,GET,Traffic Surface Lanes - Moving Load Optimization
Description,/INFO/DB/SMCT,,GET,Settlement Analysis Control Data
Description,/INFO/DB/SMLC,,GET,Settlement Load Cases
Description,/INFO/DB/SMPT,,GET,Settlement Group
Description,/INFO/DB/SPAN,,GET,Span Information
Description,/INFO/DB/SPFC,,GET,Response Spectrum Functions - Other Countries
Description,/INFO/DB/SPLC,,GET,Response Spectrum Load Cases
Description,/INFO/DB/SSPS,,GET,Surface Spring
Description,/INFO/DB/STAG,,GET,Define Construction Stage
Description,/INFO/DB/STBK,,GET,Set-Back Loads for Nonlinear Construction Stage
Description,/INFO/DB/STCT,,GET,Construction Stage Analysis Control Data
Description,/INFO/DB/STLD,,GET,Static Load Cases
Description,/INFO/DB/STMP,,GET,System Temperature
Description,/INFO/DB/STRPSSM,,GET,Section Manager - Stress Points
Description,/INFO/DB/STYP,,GET,Structure Type
Description,/INFO/DB/TDCS,,GET,Tendon Location for Composite Section
Description,/INFO/DB/TDGR,,GET,Tendon Group
Description,/INFO/DB/TDME,,GET,Time Dependent Material Properties - Compressive Strength
Description,/INFO/DB/TDMF,,GET,Time Dependent Material Properties - User Defined
Description,/INFO/DB/TDMT,,GET,Time Dependent Material Properties - Creep/Shrinkage
